HR,Name,DM,HD,SAO,RAh,RAm,RAs,DE_sign,DEd,DEm,DEs,Vmag,B-V,SpType,Const-Info
168,18Alp Cas,BD+55  139,3712,21609,0.0,40.0,30.5,+,56.0,32.0,14.0,2.23,1.17,K0IIIa,0I
169,,CP-73   42,3719,255690,0.0,38.0,40.8,-,73.0,8.0,14.0,6.85,0.11,A1m,1m
170,,CD-34  224,3735,192663,0.0,39.0,57.9,-,33.0,57.0,42.0,6.69,0.51,F8V,8V
171,,CD-45  201,3750,215185,0.0,39.0,52.0,-,44.0,47.0,48.0,6.01,1.14,K1IIICNII,1I
172,,BD-17  109,3794,147395,0.0,40.0,28.6,-,16.0,31.0,1.0,6.49,0.92,G5,5
173,,CD-24  263,3795,166475,0.0,40.0,32.9,-,23.0,48.0,16.0,6.14,0.7,G3V,3V
174,,BD-05  101,3807,128891,0.0,40.0,42.4,-,4.0,21.0,7.0,5.91,1.1,K0III,0I
175,32    And,BD+38   90,3817,54079,0.0,41.0,7.2,+,39.0,27.0,31.0,5.33,0.89,G8III,8I
176,,CP-60   46,3823,232143,0.0,40.0,26.4,-,59.0,27.0,16.0,5.89,0.55,G1V,1V
177,,BD+65   83,3856,11336,0.0,42.0,3.4,+,66.0,8.0,51.0,5.83,1.04,G9III-IV,9I
178,,BD+23   94,3883,74200,0.0,41.0,36.0,+,24.0,37.0,45.0,6.04,0.26,A7m,7m
179,19Xi  Cas,BD+49  164,3901,21637,0.0,42.0,3.9,+,50.0,30.0,45.0,4.8,-0.11,B2V,2V
180,Mu  Phe,CD-46  180,3919,215194,0.0,41.0,19.6,-,46.0,5.0,6.0,4.59,0.97,G8III,8I
181,,BD+57  132,3924,21642,0.0,42.0,31.1,+,58.0,45.0,12.0,6.17,-0.01,B9.5III,9.
183,Xi  Phe,CP-57  143,3980,232152,0.0,41.0,46.4,-,56.0,30.0,6.0,5.7,0.2,ApSrEuCr,pS
184,20Pi  Cas,BD+46  146,4058,36602,0.0,43.0,28.1,+,47.0,1.0,29.0,4.94,0.18,A5V,5V
185,Lam1Scl,CD-39  175,4065,192690,0.0,42.0,42.9,-,38.0,27.0,48.0,6.06,-0.03,A0V,0V
186,,CP-60   48,4088,248238,0.0,42.0,41.8,-,60.0,15.0,45.0,5.98,1.32,K5III,5I
187,Rho Tuc,CP-66   47,4089,248237,0.0,42.0,28.4,-,65.0,28.0,5.0,5.39,0.5,F6V,6V
188,16Bet Cet,BD-18  115,4128,147420,0.0,43.0,35.4,-,17.0,59.0,12.0,2.04,1.02,G9.5IIICH-1,9.
189,,BD+47  181,4142,36617,0.0,44.0,26.4,+,47.0,51.0,51.0,5.67,-0.12,B5V,5V
190,,BD-12  126,4145,147422,0.0,43.0,50.2,-,12.0,0.0,42.0,6.02,1.1,K2III-IV,2I
191,Eta Phe,CP-58   42,4150,232162,0.0,43.0,21.2,-,57.0,27.0,47.0,4.36,0.0,A0IV,0I
192,21    Cas,BD+74   27,4161,4216,0.0,45.0,39.0,+,74.0,59.0,17.0,5.66,0.05,A2IV,2I
193,22Omi Cas,BD+47  183,4180,36620,0.0,44.0,43.5,+,48.0,17.0,4.0,4.54,-0.07,B5IIIe,5I
194,17Phi1Cet,BD-11  128,4188,147423,0.0,44.0,11.4,-,10.0,36.0,34.0,4.76,1.01,K0III,0I
195,Lam2Scl,CD-39  181,4211,192703,0.0,44.0,12.1,-,38.0,25.0,18.0,5.9,1.16,K1III,1I
196,,BD+54  143,4222,21677,0.0,45.0,17.2,+,55.0,13.0,18.0,5.42,0.04,A2V s,2V
197,,BD-22  127,4247,166528,0.0,44.0,44.4,-,22.0,0.0,22.0,5.24,0.33,F1III-IV,1I
198,,CD-43  207,4293,215221,0.0,44.0,57.1,-,42.0,40.0,36.0,5.94,0.28,F0V,0V
199,,CP-63   72,4294,248243,0.0,44.0,32.3,-,62.0,29.0,52.0,6.07,0.44,F5III-IV,5I
200,,BD+68   49,4295,11380,0.0,46.0,39.0,+,69.0,19.0,30.0,6.33,,F3V,3V
201,,BD-05  120,4301,128935,0.0,45.0,24.1,-,4.0,37.0,45.0,6.15,1.62,M0III,0I
202,,CP-54  166,4304,232168,0.0,45.0,0.0,-,53.0,42.0,54.0,6.15,0.53,F7III,7I
203,18    Cet,BD-13  128,4307,147432,0.0,45.0,28.7,-,12.0,52.0,51.0,6.15,0.61,G0V,0V
204,,BD+54  148,4321,21689,0.0,46.0,15.1,+,55.0,18.0,19.0,6.52,,A2III,2I
205,,BD+44  160,4335,36640,0.0,46.0,10.9,+,44.0,51.0,41.0,6.05,-0.07,B9.5IIIpHgMnCr,9.
206,,BD-17  132,4338,147436,0.0,45.0,41.7,-,16.0,25.0,27.0,6.47,0.31,F1IVn,1I
207,,BD+58  101,4362,21693,0.0,46.0,42.4,+,59.0,34.0,28.0,6.39,1.09,G0Ib,0I
208,23    Cas,BD+74   29,4382,4226,0.0,47.0,46.1,+,74.0,50.0,51.0,5.41,-0.08,B8III,8I
209,,CD-48  176,4391,215232,0.0,45.0,45.6,-,47.0,33.0,6.0,5.8,0.64,G1V,1V
210,,CD-23  293,4398,166555,0.0,46.0,11.8,-,22.0,31.0,19.0,5.5,0.98,G3V,3V
211,57    Psc,BD+14  111,4408,92072,0.0,46.0,33.0,+,15.0,28.0,32.0,5.38,1.65,M4IIIa,4I
212,,BD+71   37,4440,4229,0.0,48.0,9.1,+,72.0,40.0,30.0,5.87,1.01,K0IV,0I
213,58    Psc,BD+11   96,4482,92080,0.0,47.0,1.5,+,11.0,58.0,26.0,5.5,0.97,G8II,8I
214,59    Psc,BD+18  101,4490,92082,0.0,47.0,13.6,+,19.0,34.0,44.0,6.13,0.27,F0Vn,0V
215,34Zet And,BD+23  106,4502,74267,0.0,47.0,20.3,+,24.0,16.0,2.0,4.06,1.12,K1IIe,1I
216,60    Psc,BD+05  104,4526,109461,0.0,47.0,23.6,+,6.0,44.0,27.0,5.99,0.94,G8III,8I
217,61    Psc,BD+20  105,4568,74280,0.0,47.0,54.8,+,20.0,55.0,31.0,6.54,0.5,F8V,8V
218,,BD-18  127,4585,147451,0.0,47.0,43.3,-,18.0,3.0,41.0,5.7,1.3,K3III,3I
219,24Eta Cas,BD+57  150,4614,21732,0.0,49.0,6.0,+,57.0,48.0,57.0,3.44,0.57,F9V+dM0,9V
220,,BD-22  134,4622,166585,0.0,48.0,1.1,-,21.0,43.0,21.0,5.57,-0.06,B9V,9V
221,62    Psc,BD+06  105,4627,109470,0.0,48.0,17.4,+,7.0,18.0,0.0,5.93,1.1,G8III,8I
222,,BD+04  123,4628,109471,0.0,48.0,23.0,+,5.0,16.0,50.0,5.75,0.88,K2V,2V
223,25Nu  Cas,BD+50  147,4636,21729,0.0,48.0,50.1,+,50.0,58.0,6.0,4.89,-0.11,B9III,9I
224,63Del Psc,BD+06  107,4656,109474,0.0,48.0,41.0,+,7.0,35.0,6.0,4.43,1.5,K4IIIb,4I
225,64    Psc,BD+16   76,4676,92099,0.0,48.0,58.7,+,16.0,56.0,26.0,5.07,0.51,F8V,8V
226,35Nu  And,BD+40  171,4727,36699,0.0,49.0,48.8,+,41.0,4.0,44.0,4.53,-0.15,B5V+F8V,5V
227,,BD-14  145,4730,147464,0.0,49.0,25.6,-,13.0,33.0,41.0,5.59,1.3,K5III,5I
228,,CD-24  345,4732,166602,0.0,49.0,13.9,-,24.0,8.0,11.0,5.9,0.95,K2III,2I
229,,CD-47  229,4737,215245,0.0,48.0,56.7,-,46.0,41.0,52.0,6.27,0.9,G8III,8I
